"Periodos","Automoviles"
"1988/01",11661
"1988/02",13159
"1988/03",12901
"1988/04",15039
"1988/05",18710
"1988/06",19800
"1988/07",19603
"1988/08",17587
"1988/09",13685
"1988/10",22682
"1988/11",25300
"1988/12",21858
"1989/01",19614
"1989/02",19223
"1989/03",19768
"1989/04",19488
"1989/05",21759
"1989/06",23146
"1989/07",20966
"1989/08",20712
"1989/09",18923
"1989/10",25336
"1989/11",30344
"1989/12",29268
"1990/01",24977
"1990/02",23295
"1990/03",28357
"1990/04",22242
"1990/05",29115
"1990/06",30885
"1990/07",32776
"1990/08",33957
"1990/09",23315
"1990/10",31641
"1990/11",33795
"1990/12",35188
"1991/01",32270
"1991/02",31564
"1991/03",30981
"1991/04",32267
"1991/05",33677
"1991/06",31882
"1991/07",33746
"1991/08",31734
"1991/09",24262
"1991/10",33629
"1991/11",34799
"1991/12",40255
"1992/01",32891
"1992/02",34835
"1992/03",39937
"1992/04",33513
"1992/05",33072
"1992/06",35819
"1992/07",37331
"1992/08",25115
"1992/09",34352
"1992/10",39357
"1992/11",38125
"1992/12",43559
"1993/01",38496
"1993/02",38604
"1993/03",42740
"1993/04",26854
"1993/05",32260
"1993/06",33200
"1993/07",30532
"1993/08",32120
"1993/09",24854
"1993/10",26444
"1993/11",31767
"1993/12",37261
"1994/01",35406
"1994/02",36150
"1994/03",37596
"1994/04",31261
"1994/05",35594
"1994/06",39452
"1994/07",34401
"1994/08",34901
"1994/09",26645
"1994/10",31312
"1994/11",32825
"1994/12",40680
"1995/01",26875
"1995/02",15849
"1995/03",16092
"1995/04",6318
"1995/05",7301
"1995/06",7692
"1995/07",7452
"1995/08",9098
"1995/09",8000
"1995/10",9900
"1995/11",14272
"1995/12",13957
"1996/01",13833
"1996/02",13071
"1996/03",15712
"1996/04",11210
"1996/05",13766
"1996/06",14349
"1996/07",15166
"1996/08",13679
"1996/09",14463
"1996/10",19801
"1996/11",24145
"1996/12",28770
"1997/01",18287
"1997/02",19219
"1997/03",18860
"1997/04",20628
"1997/05",22148
"1997/06",21969
"1997/07",25983
"1997/08",26271
"1997/09",24603
"1997/10",32592
"1997/11",32487
"1997/12",40433
"1998/01",31407
"1998/02",32262
"1998/03",35708
"1998/04",29980
"1998/05",30635
"1998/06",38186
"1998/07",37682
"1998/08",36617
"1998/09",36483
"1998/10",28379
"1998/11",33055
"1998/12",55644
"1999/01",31542
"1999/02",28104
"1999/03",33092
"1999/04",29780
"1999/05",31837
"1999/06",36250
"1999/07",34564
"1999/08",36984
"1999/09",36549
"1999/10",41119
"1999/11",45664
"1999/12",68220
"2000/01",43857
"2000/02",44961
"2000/03",47055
"2000/04",38510
"2000/05",44437
"2000/06",48113
"2000/07",46126
"2000/08",47894
"2000/09",48984
"2000/10",51503
"2000/11",59127
"2000/12",72888
"2001/01",57721
"2001/02",56082
"2001/03",55398
"2001/04",41801
"2001/05",47976
"2001/06",50977
"2001/07",54468
"2001/08",61274
"2001/09",50387
"2001/10",52460
"2001/11",59862
"2001/12",78535
"2002/01",69891
"2002/02",59266
"2002/03",54256
"2002/04",55916
"2002/05",56429
"2002/06",52977
"2002/07",57861
"2002/08",60102
"2002/09",50276
"2002/10",60175
"2002/11",56821
"2002/12",77398
"2003/01",63143
"2003/02",57907
"2003/03",55090
"2003/04",50886
"2003/05",50618
"2003/06",52794
"2003/07",60019
